Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Cell_type	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Diagnosis	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_name	SRA Study	tissue
SRR13988787	RNA-Seq	300	6006226500	PRJNA715175	SAMN18332773	2061840783	PBMCs	GEO	public	"sra,fastq"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	normal control	SRX10366286	GSM5176166	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176166	PBMCs	SRP311059	Peripheral blood
SRR13988788	RNA-Seq	300	1288260300	PRJNA715175	SAMN18332780	441147029	PBMCs	GEO	public	"fastq,sra"	"s3,gs,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SLE patient	SRX10366287	GSM5176158	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176158	PBMCs	SRP311059	Peripheral blood
SRR13988789	RNA-Seq	300	9115370100	PRJNA715175	SAMN18332780	3266570485	PBMCs	GEO	public	"sra,fastq"	"s3,ncbi,gs"	"ncbi.public,s3.us-east-1,gs.US"	SLE patient	SRX10366287	GSM5176158	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176158	PBMCs	SRP311059	Peripheral blood
SRR13988790	RNA-Seq	300	659232300	PRJNA715175	SAMN18332779	223366084	PBMCs	GEO	public	"fastq,sra"	"gs,ncbi,s3"	"s3.us-east-1,gs.US,ncbi.public"	SLE patient	SRX10366288	GSM5176159	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176159	PBMCs	SRP311059	Peripheral blood
SRR13988791	RNA-Seq	300	9651202800	PRJNA715175	SAMN18332779	3446391716	PBMCs	GEO	public	"sra,fastq"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SLE patient	SRX10366288	GSM5176159	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176159	PBMCs	SRP311059	Peripheral blood
SRR13988792	RNA-Seq	300	5429084100	PRJNA715175	SAMN18332778	1931551977	PBMCs	GEO	public	"fastq,sra"	"gs,s3,ncbi"	"gs.US,ncbi.public,s3.us-east-1"	SLE patient	SRX10366289	GSM5176160	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176160	PBMCs	SRP311059	Peripheral blood
SRR13988793	RNA-Seq	300	6363767700	PRJNA715175	SAMN18332778	2151493761	PBMCs	GEO	public	"fastq,sra"	"ncbi,s3,gs"	"gs.US,ncbi.public,s3.us-east-1"	SLE patient	SRX10366289	GSM5176160	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176160	PBMCs	SRP311059	Peripheral blood
SRR13988794	RNA-Seq	300	11936487000	PRJNA715175	SAMN18332777	4288921442	PBMCs	GEO	public	"sra,fastq"	"gs,ncbi,s3"	"ncbi.public,gs.US,s3.us-east-1"	SLE patient	SRX10366283	GSM5176161	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176161	PBMCs	SRP311059	Peripheral blood
SRR13988795	RNA-Seq	300	6307956900	PRJNA715175	SAMN18332776	2310176005	PBMCs	GEO	public	"sra,fastq"	"ncbi,s3,gs"	"gs.US,s3.us-east-1,ncbi.public"	normal control	SRX10366284	GSM5176162	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176162	PBMCs	SRP311059	Peripheral blood
SRR13988796	RNA-Seq	300	5124885600	PRJNA715175	SAMN18332776	1780674839	PBMCs	GEO	public	"fastq,sra"	"ncbi,s3,gs"	"gs.US,s3.us-east-1,ncbi.public"	normal control	SRX10366284	GSM5176162	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-07-17T00:00:00Z	GSM5176162	PBMCs	SRP311059	Peripheral blood
