Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
AKAP11,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
C11orf65,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
CCNG2,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
CPED1,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
EMB,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
GLB1L,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
KCMF1,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
PARP8,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
TCF7L1,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
VSIG8,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
AOC2,-1,-1,0,-1,-1,1,-1,0,6,-4,-24,0.Down-regulated
ACD,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
ADD1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
AGFG2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
AGRN,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ALG10B,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ALMS1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
ALOX5AP,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
AOC1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ARHGAP12,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ARHGAP25,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ARPP19,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ASB7,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ATP13A4,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
ATP5F1A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
AZIN2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
BICDL1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
BTAF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
C17orf67,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
C19orf25,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
C2orf69,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
C2orf88,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
C3orf18,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
C9orf78,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
CAMSAP2,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
CCDC102A,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
CCDC43,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
CDC25B,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
CDC26,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
CDC37L1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
CFP,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
CHKA,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
CLCF1,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
CLSPN,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
COG6,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
COL18A1,0,0,0,1,1,1,1,0,4,4,16,1.Unperturbed
CORO1B,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
CP,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
CROT,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
CWF19L1,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
DCLRE1C,1,0,0,1,1,0,1,NA,4,4,16,1.Unperturbed
DDX60,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
DENND5B,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
DIAPH3,0,0,0,1,1,1,1,0,4,4,16,1.Unperturbed
DMAC2L,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
DNHD1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
DTX4,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
EEA1,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
