Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
CKB,1,0,1,1,1,0,1,1,6,6,36,2.Up-regulated
NEMP2,1,0,1,1,1,0,1,1,6,6,36,2.Up-regulated
TIMM50,1,0,1,1,1,0,1,1,6,6,36,2.Up-regulated
BTAF1,1,0,1,1,1,0,1,NA,5,5,25,2.Up-regulated
CACNA1D,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
CAMSAP2,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
CDHR5,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
DNAJC15,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
ELOVL4,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
EXPH5,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
FGFBP3,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
GBP7,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
KIF7,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
LEP,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
PLPP1,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
PPP2R1B,1,0,0,1,0,1,1,1,5,5,25,2.Up-regulated
SEC31A,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
SLC38A9,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
TGOLN2,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
TIGD3,1,0,1,1,1,0,1,0,5,5,25,2.Up-regulated
TUBA4B,1,0,0,1,1,1,1,0,5,5,25,2.Up-regulated
VENTX,1,0,0,1,1,0,1,1,5,5,25,2.Up-regulated
AARSD1,-1,-1,0,-1,-1,1,-1,0,6,-4,-24,0.Down-regulated
ARL6IP4,1,0,1,1,1,-1,1,0,6,4,24,2.Up-regulated
GALNT3,1,0,1,1,1,-1,1,0,6,4,24,2.Up-regulated
IQGAP1,-1,-1,0,-1,0,1,-1,-1,6,-4,-24,0.Down-regulated
NFE2L1,1,0,1,1,1,-1,1,0,6,4,24,2.Up-regulated
PA2G4,1,0,1,1,0,-1,1,1,6,4,24,2.Up-regulated
PATL1,1,0,1,1,1,-1,1,0,6,4,24,2.Up-regulated
